korean,reading,japanese,part_of_speech
사람,サラム,人,名詞
?,ジョ,私,名詞
?,ナ,私（タメ口）,名詞
??,チング,友達,名詞
??,カジョク,家族,名詞
???,アボジ,父,名詞
???,オモニ,母,名詞
?,ヒョン,兄（男性から見て）,名詞
??,オッパ,兄（女性から見て）,名詞
??,ヌナ,姉（男性から見て）,名詞
??,オンニ,姉（女性から見て）,名詞
??,ドンセン,弟、妹,名詞
???,ナムドンセン,弟,名詞
???,ヨドンセン,妹,名詞
??,アドル,息子,名詞
?,タル,娘,名詞
????,ハラボジ,祖父,名詞
???,ハルモニ,祖母,名詞
??,ナムピョン,夫,名詞
??,アネ,妻,名詞
??,アイ,子供,名詞
??,アギ,赤ちゃん,名詞
??,オルン,大人,名詞
??,ナムジャ,男,名詞
??,ヨジャ,女,名詞
???,ソンセンニム,先生,名詞
??,ハクセン,学生,名詞
??,ソンニム,客、お客様,名詞
??,ジュイン,主人、持ち主,名詞
??,イルム,名前,名詞
??,ナイ,年齢,名詞
??,センイル,誕生日,名詞
??,シガン,時間,名詞
?,シ,?時,名詞
?,ブン,分,名詞
?,チョ,秒,名詞
?,ナル,日,名詞
??,オヌル,今日,名詞
??,ネイル,明日,名詞
??,オジェ,昨日,名詞
??,モレ,明後日,名詞
???,クジョッケ,一昨日,名詞
??,アチム,朝,名詞
?,ナッ,昼,名詞
??,ジョニョク,夕方、晩,名詞
?,バム,夜,名詞
??,セビョク,夜明け、早朝,名詞
?,ジュ,週,名詞
?? ?,イボン ジュ,今週,名詞
???,ジナンジュ,先週,名詞
?? ?,タウム ジュ,来週,名詞
?,ウォル,月,名詞
?,タル,月（つき）、月（げつ）,名詞
?,ニョン,年,名詞
??,チャンニョン,昨年,名詞
??,オレ,今年,名詞
??,ネニョン,来年,名詞
??,ヨイル,曜日,名詞
???,ウォリョイル,月曜日,名詞
???,ファ??,火曜日,名詞
???,スヨイル,水曜日,名詞
???,モギョイル,木曜日,名詞
???,クミョイル,金曜日,名詞
???,トヨイル,土曜日,名詞
???,イロイル,日曜日,名詞
??,ジュマル,週末,名詞
??,ピョンイル,平日,名詞
??,ゲジョル,季節,名詞
?,ボム,春,名詞
??,ヨルム,夏,名詞
??,カウル,秋,名詞
??,ギョウル,冬,名詞
??,ジグム,今,名詞
??,ナジュン,あと、後で,名詞
??,ジャムカン,ちょっと、しばらく,名詞
??,ハンサン,いつも,名詞
??,ジャジュ,よく、しばしば,名詞
??,カックム,時々,名詞
??,チャンソ,場所,名詞
?,ゴッ,所,名詞
?,ジプ,家,名詞
?,バン,部屋,名詞
?,ムン,ドア、門,名詞
??,チャンムン,窓,名詞
??,プオク,台所,名詞
???,ファジャンシル,化粧室、トイレ,名詞
??,ヨクシル,浴室,名詞
??,ゴシル,居間、リビング,名詞
??,ハッキョ,学校,名詞
??,ギョシル,教室,名詞
???,ドソグァン,図書館,名詞
??,フェサ,会社,名詞
???,サムシル,事務所、オフィス,名詞
??,ビョンウォン,病院,名詞
??,ヤクグク,薬局,名詞
